day,date,daily,line,type,number
Monday,2010-01-11,952,orange,Boardings,877
Tuesday,2010-01-12,796,orange,Boardings,777
Wednesday,2010-01-13,1211.5,orange,Boardings,1203
Thursday,2010-01-14,1213.5,orange,Boardings,1194
Friday,2010-01-15,1644,orange,Boardings,1645
Saturday,2010-01-16,1490.5,orange,Boardings,1457
Sunday,2010-01-17,888.5,orange,Boardings,839
Monday,2010-01-18,999.5,orange,Boardings,999
Tuesday,2010-01-19,1035,orange,Boardings,1023
Wednesday,2010-01-20,1395.5,orange,Boardings,1375
Thursday,2010-01-21,1305,orange,Boardings,1303
Friday,2010-01-22,1394.5,orange,Boardings,1401
Saturday,2010-01-23,1206,orange,Boardings,1202
Sunday,2010-01-24,713,orange,Boardings,715
Monday,2010-01-25,1295,orange,Boardings,1276
Tuesday,2010-01-26,1429.5,orange,Boardings,1436
Wednesday,2010-01-27,1288.5,orange,Boardings,1256
Thursday,2010-01-28,1239,orange,Boardings,1246
Friday,2010-01-29,1332,orange,Boardings,1342
Saturday,2010-01-30,581.5,orange,Boardings,564
Sunday,2010-01-31,683.5,orange,Boardings,664
Monday,2010-02-01,1395.5,orange,Boardings,1397
Tuesday,2010-02-02,1436.5,orange,Boardings,1437
Wednesday,2010-02-03,1368,orange,Boardings,1396
Thursday,2010-02-04,1339.5,orange,Boardings,1342
Friday,2010-02-05,1217.5,orange,Boardings,1231
Saturday,2010-02-06,0,orange,Boardings,NA
Sunday,2010-02-07,0,orange,Boardings,NA
Monday,2010-02-08,284,orange,Boardings,279
Tuesday,2010-02-09,849.5,orange,Boardings,832
Wednesday,2010-02-10,0,orange,Boardings,NA
Thursday,2010-02-11,0,orange,Boardings,NA
Friday,2010-02-12,671,orange,Boardings,664
Saturday,2010-02-13,700.5,orange,Boardings,690
Sunday,2010-02-14,543.5,orange,Boardings,542
Monday,2010-02-15,751.5,orange,Boardings,752
Tuesday,2010-02-16,791,orange,Boardings,774
Wednesday,2010-02-17,993.5,orange,Boardings,965
Thursday,2010-02-18,1126,orange,Boardings,1116
Friday,2010-02-19,1642,orange,Boardings,1637
Saturday,2010-02-20,893.5,orange,Boardings,889
Sunday,2010-02-21,739,orange,Boardings,725
Monday,2010-02-22,997.5,orange,Boardings,954
Tuesday,2010-02-23,998,orange,Boardings,987
Wednesday,2010-02-24,1219,orange,Boardings,1228
Thursday,2010-02-25,1429.5,orange,Boardings,1438
Friday,2010-02-26,1328.5,orange,Boardings,1344
Saturday,2010-02-27,1252.5,orange,Boardings,1246
Sunday,2010-02-28,955.5,orange,Boardings,953
Monday,2010-03-01,1511,orange,Boardings,1528
Tuesday,2010-03-02,1498.5,orange,Boardings,1505
Wednesday,2010-03-03,1464.5,orange,Boardings,1456
Thursday,2010-03-04,1697.5,orange,Boardings,1697
Friday,2010-03-05,1905.5,orange,Boardings,1911
Saturday,2010-03-06,1369,orange,Boardings,1374
Sunday,2010-03-07,1114.5,orange,Boardings,1101
Monday,2010-03-08,1516,orange,Boardings,1502
Tuesday,2010-03-09,1727.5,orange,Boardings,1728
Wednesday,2010-03-10,1672,orange,Boardings,1667
Thursday,2010-03-11,1711.5,orange,Boardings,1690
Friday,2010-03-12,1644,orange,Boardings,1650
Saturday,2010-03-13,952.5,orange,Boardings,969
Sunday,2010-03-14,716.5,orange,Boardings,707
Monday,2010-03-15,1588,orange,Boardings,1602
Tuesday,2010-03-16,1601,orange,Boardings,1629
Wednesday,2010-03-17,1710.5,orange,Boardings,1717
Thursday,2010-03-18,1949,orange,Boardings,1940
Friday,2010-03-19,2204.5,orange,Boardings,2183
Saturday,2010-03-20,1945.5,orange,Boardings,1967
Sunday,2010-03-21,1634,orange,Boardings,1682
Monday,2010-03-22,1413,orange,Boardings,1383
Tuesday,2010-03-23,1458,orange,Boardings,1468
Wednesday,2010-03-24,1350,orange,Boardings,1381
Thursday,2010-03-25,1448,orange,Boardings,1470
Friday,2010-03-26,1710.5,orange,Boardings,1655
Saturday,2010-03-27,1561,orange,Boardings,1505
Sunday,2010-03-28,1086.5,orange,Boardings,1050
Monday,2010-03-29,1790.5,orange,Boardings,1744
Tuesday,2010-03-30,1474,orange,Boardings,1437
Wednesday,2010-03-31,1719,orange,Boardings,1653
Thursday,2010-04-01,1939.5,orange,Boardings,1974
Friday,2010-04-02,2029,orange,Boardings,2008
Saturday,2010-04-03,1836,orange,Boardings,1826
Sunday,2010-04-04,1053,orange,Boardings,1025
Monday,2010-04-05,1875.5,orange,Boardings,1817
Tuesday,2010-04-06,1776,orange,Boardings,1937
Wednesday,2010-04-07,1498.5,orange,Boardings,1450
Thursday,2010-04-08,1764,orange,Boardings,1815
Friday,2010-04-09,2399,orange,Boardings,2499
Saturday,2010-04-10,1801,orange,Boardings,1857
Sunday,2010-04-11,1231.5,orange,Boardings,1276
Monday,2010-04-12,1711.5,orange,Boardings,1847
Tuesday,2010-04-13,1643,orange,Boardings,1643
Wednesday,2010-04-14,1933,orange,Boardings,1971
Thursday,2010-04-15,1793.5,orange,Boardings,1937
Friday,2010-04-16,2191,orange,Boardings,2369
Saturday,2010-04-17,1886,orange,Boardings,1949
Sunday,2010-04-18,1150.5,orange,Boardings,1204
Monday,2010-04-19,1818.5,orange,Boardings,1912
Tuesday,2010-04-20,1797,orange,Boardings,1797
Wednesday,2010-04-21,1661.5,orange,Boardings,1726
Thursday,2010-04-22,1879,orange,Boardings,1914
Friday,2010-04-23,2132,orange,Boardings,2180
Saturday,2010-04-24,1613,orange,Boardings,1653
Sunday,2010-04-25,1058.5,orange,Boardings,1074
Monday,2010-04-26,1616,orange,Boardings,1603
Tuesday,2010-04-27,1847,orange,Boardings,1946
Wednesday,2010-04-28,1728.5,orange,Boardings,1750
Thursday,2010-04-29,1746.5,orange,Boardings,1840
Friday,2010-04-30,2223,orange,Boardings,2252
Saturday,2010-05-01,2415,orange,Boardings,2414
Sunday,2010-05-02,1172.5,orange,Boardings,1205
Monday,2010-05-03,1616,orange,Boardings,1689
Tuesday,2010-05-04,1649.5,orange,Boardings,1713
Wednesday,2010-05-05,1705,orange,Boardings,1791
Thursday,2010-05-06,1826.5,orange,Boardings,1966
Friday,2010-05-07,2217,orange,Boardings,2254
Saturday,2010-05-08,1818,orange,Boardings,1877
Sunday,2010-05-09,991,orange,Boardings,1067
Monday,2010-05-10,1728,orange,Boardings,1823
Tuesday,2010-05-11,1664.5,orange,Boardings,1713
Wednesday,2010-05-12,1861,orange,Boardings,1926
Thursday,2010-05-13,1840.5,orange,Boardings,1879
Friday,2010-05-14,2536,orange,Boardings,2630
Saturday,2010-05-15,1998,orange,Boardings,1883
Sunday,2010-05-16,1056,orange,Boardings,1022
Monday,2010-05-17,1932.5,orange,Boardings,1903
Tuesday,2010-05-18,1622,orange,Boardings,1644
Wednesday,2010-05-19,1822,orange,Boardings,1809
Thursday,2010-05-20,2153,orange,Boardings,2166
Friday,2010-05-21,2541,orange,Boardings,2626
Saturday,2010-05-22,1549,orange,Boardings,1668
Sunday,2010-05-23,1018,orange,Boardings,1076
Monday,2010-05-24,1660,orange,Boardings,1768
Tuesday,2010-05-25,1758,orange,Boardings,1827
Wednesday,2010-05-26,2077.5,orange,Boardings,2166
Thursday,2010-05-27,2190,orange,Boardings,2249
Friday,2010-05-28,2249,orange,Boardings,2341
Saturday,2010-05-29,1722.5,orange,Boardings,1774
Sunday,2010-05-30,1370.5,orange,Boardings,1439
Monday,2010-05-31,1466.5,orange,Boardings,1454
Tuesday,2010-06-01,1912,orange,Boardings,1973
Wednesday,2010-06-02,1846,orange,Boardings,1925
Thursday,2010-06-03,2042.5,orange,Boardings,2087
Friday,2010-06-04,2024.5,orange,Boardings,2132
Saturday,2010-06-05,1842.5,orange,Boardings,1896
Sunday,2010-06-06,965,orange,Boardings,1099
Monday,2010-06-07,3072.5,orange,Boardings,2050
Tuesday,2010-06-08,3681,orange,Boardings,2483
Wednesday,2010-06-09,3368,orange,Boardings,1743
Thursday,2010-06-10,4146.5,orange,Boardings,2249
Friday,2010-06-11,5213,orange,Boardings,3107
Saturday,2010-06-12,4143,orange,Boardings,2392
Sunday,2010-06-13,2698,orange,Boardings,1394
Monday,2010-06-14,4047.5,orange,Boardings,2254
Tuesday,2010-06-15,4036.5,orange,Boardings,2185
Wednesday,2010-06-16,3363,orange,Boardings,1604
Thursday,2010-06-17,3655,orange,Boardings,2024
Friday,2010-06-18,4199,orange,Boardings,1790
Saturday,2010-06-19,3848,orange,Boardings,1928
Sunday,2010-06-20,2681.5,orange,Boardings,1461
Monday,2010-06-21,3759,orange,Boardings,2235
Tuesday,2010-06-22,4298,orange,Boardings,2061
Wednesday,2010-06-23,4660,orange,Boardings,2231
Thursday,2010-06-24,4596,orange,Boardings,2423
Friday,2010-06-25,6117.5,orange,Boardings,3410
Saturday,2010-06-26,4447,orange,Boardings,2483
Sunday,2010-06-27,3104,orange,Boardings,1518
Monday,2010-06-28,4237,orange,Boardings,2325
Tuesday,2010-06-29,4403.5,orange,Boardings,2204
Wednesday,2010-06-30,3963.5,orange,Boardings,2681
Thursday,2010-07-01,4978.5,orange,Boardings,2882
Friday,2010-07-02,5516,orange,Boardings,2874
Saturday,2010-07-03,4996,orange,Boardings,2536
Sunday,2010-07-04,4080,orange,Boardings,1900
Monday,2010-07-05,3618,orange,Boardings,1658
Tuesday,2010-07-06,4415.5,orange,Boardings,2229
Wednesday,2010-07-07,4937.5,orange,Boardings,2274
Thursday,2010-07-08,5354,orange,Boardings,2614
Friday,2010-07-09,5941,orange,Boardings,2807
Saturday,2010-07-10,4076.5,orange,Boardings,1863
Sunday,2010-07-11,3775.5,orange,Boardings,1765
Monday,2010-07-12,4558,orange,Boardings,2310
Tuesday,2010-07-13,5144.5,orange,Boardings,2482
Wednesday,2010-07-14,4471,orange,Boardings,2236
Thursday,2010-07-15,5256,orange,Boardings,2655
Friday,2010-07-16,4994,orange,Boardings,2324
Saturday,2010-07-17,5075.5,orange,Boardings,1528
Sunday,2010-07-18,3376,orange,Boardings,1257
Monday,2010-07-19,4532,orange,Boardings,2459
Tuesday,2010-07-20,4473.5,orange,Boardings,2383
Wednesday,2010-07-21,5312,orange,Boardings,2737
Thursday,2010-07-22,5224.5,orange,Boardings,2801
Friday,2010-07-23,6081,orange,Boardings,3037
Saturday,2010-07-24,4449.5,orange,Boardings,2192
Sunday,2010-07-25,3281.5,orange,Boardings,1582
Monday,2010-07-26,5458.5,orange,Boardings,2774
Tuesday,2010-07-27,5644.5,orange,Boardings,2647
Wednesday,2010-07-28,5809,orange,Boardings,2849
Thursday,2010-07-29,5280.5,orange,Boardings,2603
Friday,2010-07-30,6617,orange,Boardings,3074
Saturday,2010-07-31,5223,orange,Boardings,2385
Sunday,2010-08-01,3746.5,orange,Boardings,1553
Monday,2010-08-02,5011,orange,Boardings,2428
Tuesday,2010-08-03,5267,orange,Boardings,2493
Wednesday,2010-08-04,4936,orange,Boardings,2094
Thursday,2010-08-05,5535,orange,Boardings,2767
Friday,2010-08-06,6576.5,orange,Boardings,3108
Saturday,2010-08-07,5535,orange,Boardings,2566
Sunday,2010-08-08,3906,orange,Boardings,1706
Monday,2010-08-09,4950.5,orange,Boardings,2573
Tuesday,2010-08-10,4177,orange,Boardings,2199
Wednesday,2010-08-11,5577,orange,Boardings,NA
Thursday,2010-08-12,5256,orange,Boardings,NA
Friday,2010-08-13,6900,orange,Boardings,NA
Saturday,2010-08-14,5095,orange,Boardings,NA
Sunday,2010-08-15,5279,orange,Boardings,NA
Monday,2010-08-16,7030,orange,Boardings,NA
Tuesday,2010-08-17,4980,orange,Boardings,NA
Wednesday,2010-08-18,4484,orange,Boardings,NA
Thursday,2010-08-19,4011,orange,Boardings,NA
Friday,2010-08-20,5092,orange,Boardings,NA
Saturday,2010-08-21,5185,orange,Boardings,NA
Sunday,2010-08-22,4208,orange,Boardings,NA
Monday,2010-08-23,5961,orange,Boardings,NA
Tuesday,2010-08-24,6003,orange,Boardings,NA
Wednesday,2010-08-25,4260,orange,Boardings,NA
Thursday,2010-08-26,5420,orange,Boardings,NA
Friday,2010-08-27,5050,orange,Boardings,NA
Saturday,2010-08-28,4624,orange,Boardings,NA
Sunday,2010-08-29,3587,orange,Boardings,NA
Monday,2010-08-30,5594,orange,Boardings,NA
Tuesday,2010-08-31,5665,orange,Boardings,NA
Wednesday,2010-09-01,6191,orange,Boardings,NA
Thursday,2010-09-02,6098,orange,Boardings,NA
Friday,2010-09-03,6096,orange,Boardings,NA
Saturday,2010-09-04,6396,orange,Boardings,NA
Sunday,2010-09-05,4398,orange,Boardings,NA
Monday,2010-09-06,4333,orange,Boardings,NA
Tuesday,2010-09-07,5699,orange,Boardings,NA
Wednesday,2010-09-08,5051,orange,Boardings,NA
Thursday,2010-09-09,5030,orange,Boardings,NA
Friday,2010-09-10,6180,orange,Boardings,NA
Saturday,2010-09-11,4968,orange,Boardings,NA
Sunday,2010-09-12,2762,orange,Boardings,NA
Monday,2010-09-13,5134,orange,Boardings,NA
Tuesday,2010-09-14,5019,orange,Boardings,NA
Wednesday,2010-09-15,5177,orange,Boardings,NA
Thursday,2010-09-16,4764,orange,Boardings,NA
Friday,2010-09-17,5020,orange,Boardings,NA
Saturday,2010-09-18,5885,orange,Boardings,NA
Sunday,2010-09-19,3805,orange,Boardings,NA
Monday,2010-09-20,5133,orange,Boardings,NA
Tuesday,2010-09-21,4691,orange,Boardings,NA
Wednesday,2010-09-22,4709,orange,Boardings,NA
Thursday,2010-09-23,4936,orange,Boardings,NA
Friday,2010-09-24,5694,orange,Boardings,NA
Saturday,2010-09-25,5024,orange,Boardings,NA
Sunday,2010-09-26,3525,orange,Boardings,NA
Monday,2010-09-27,5163,orange,Boardings,NA
Tuesday,2010-09-28,5618,orange,Boardings,NA
Wednesday,2010-09-29,5220,orange,Boardings,NA
Thursday,2010-09-30,4640,orange,Boardings,NA
Friday,2010-10-01,7128,orange,Boardings,NA
Saturday,2010-10-02,6018,orange,Boardings,NA
Sunday,2010-10-03,3576,orange,Boardings,NA
Monday,2010-10-04,4051,orange,Boardings,NA
Tuesday,2010-10-05,4617,orange,Boardings,NA
Wednesday,2010-10-06,5341,orange,Boardings,NA
Thursday,2010-10-07,5473,orange,Boardings,2061
Friday,2010-10-08,6439,orange,Boardings,2491
Saturday,2010-10-09,5577.5,orange,Boardings,2181
Sunday,2010-10-10,3574,orange,Boardings,1412
Monday,2010-10-11,5459,orange,Boardings,2276
Tuesday,2010-10-12,5502,orange,Boardings,2471
Wednesday,2010-10-13,4579,orange,Boardings,1973
Thursday,2010-10-14,4295,orange,Boardings,1785
Friday,2010-10-15,5912,orange,Boardings,2572
Saturday,2010-10-16,4119,orange,Boardings,1417
Sunday,2010-10-17,3015,orange,Boardings,1180
Monday,2010-10-18,4561.5,orange,Boardings,2331
Tuesday,2010-10-19,5036.5,orange,Boardings,1815
Wednesday,2010-10-20,5080,orange,Boardings,2363
Thursday,2010-10-21,5594,orange,Boardings,2245
Friday,2010-10-22,6693.5,orange,Boardings,2680
Saturday,2010-10-23,5155.5,orange,Boardings,1879
Sunday,2010-10-24,3909.5,orange,Boardings,1542
Monday,2010-10-25,5752,orange,Boardings,2285
Tuesday,2010-10-26,5688.5,orange,Boardings,2333
Wednesday,2010-10-27,5683,orange,Boardings,2316
Thursday,2010-10-28,5973.5,orange,Boardings,2500
Friday,2010-10-29,5593.5,orange,Boardings,2447
Saturday,2010-10-30,4936.5,orange,Boardings,2231
Sunday,2010-10-31,3584.5,orange,Boardings,1245
Monday,2010-11-01,4918,orange,Boardings,1589
Tuesday,2010-11-02,4361.5,orange,Boardings,2004
Wednesday,2010-11-03,4507,orange,Boardings,2074
Thursday,2010-11-04,4087.5,orange,Boardings,1332
Friday,2010-11-05,5484,orange,Boardings,1721
Saturday,2010-11-06,4636.5,orange,Boardings,1964
Sunday,2010-11-07,2795.5,orange,Boardings,895
Monday,2010-11-08,4535.5,orange,Boardings,1474
Tuesday,2010-11-09,5052,orange,Boardings,2202
Wednesday,2010-11-10,4987,orange,Boardings,2026
Thursday,2010-11-11,4390,orange,Boardings,1999
Friday,2010-11-12,6223.5,orange,Boardings,2532
Saturday,2010-11-13,4906,orange,Boardings,1665
Sunday,2010-11-14,2887.5,orange,Boardings,1058
Monday,2010-11-15,4819.5,orange,Boardings,2119
Tuesday,2010-11-16,4293,orange,Boardings,1782
Wednesday,2010-11-17,4481.5,orange,Boardings,1320
Thursday,2010-11-18,4876.5,orange,Boardings,1846
Friday,2010-11-19,5905,orange,Boardings,1859
Saturday,2010-11-20,4361,orange,Boardings,1807
Sunday,2010-11-21,2802.5,orange,Boardings,1251
Monday,2010-11-22,5121,orange,Boardings,1853
Tuesday,2010-11-23,4800,orange,Boardings,2185
Wednesday,2010-11-24,5368.5,orange,Boardings,2352
Thursday,2010-11-25,0,orange,Boardings,NA
Friday,2010-11-26,4489,orange,Boardings,1818
Saturday,2010-11-27,4128.5,orange,Boardings,1875
Sunday,2010-11-28,2669,orange,Boardings,860
Monday,2010-11-29,5105,orange,Boardings,1778
Tuesday,2010-11-30,5136,orange,Boardings,2310
Wednesday,2010-12-01,4846.5,orange,Boardings,2018
Thursday,2010-12-02,5217,orange,Boardings,2179
Friday,2010-12-03,6121,orange,Boardings,2473
Saturday,2010-12-04,4962,orange,Boardings,2119
Sunday,2010-12-05,3424,orange,Boardings,1469
Monday,2010-12-06,4781,orange,Boardings,2102
Tuesday,2010-12-07,4532.5,orange,Boardings,1907
Wednesday,2010-12-08,4919.5,orange,Boardings,1763
Thursday,2010-12-09,4432.5,orange,Boardings,1528
Friday,2010-12-10,5246.5,orange,Boardings,2522
Saturday,2010-12-11,4240.5,orange,Boardings,1849
Sunday,2010-12-12,2249.5,orange,Boardings,816
Monday,2010-12-13,4531.5,orange,Boardings,1763
Tuesday,2010-12-14,3766,orange,Boardings,1393
Wednesday,2010-12-15,4333,orange,Boardings,1952
Thursday,2010-12-16,4403.5,orange,Boardings,1889
Friday,2010-12-17,4361,orange,Boardings,1670
Saturday,2010-12-18,3255,orange,Boardings,1260
Sunday,2010-12-19,2268.5,orange,Boardings,1095
Monday,2010-12-20,4538.5,orange,Boardings,1865
Tuesday,2010-12-21,4484.5,orange,Boardings,1824
Wednesday,2010-12-22,4447,orange,Boardings,1789
Thursday,2010-12-23,4479.5,orange,Boardings,2000
Friday,2010-12-24,1674.5,orange,Boardings,791
Saturday,2010-12-25,0,orange,Boardings,NA
Sunday,2010-12-26,0,orange,Boardings,NA
Monday,2010-12-27,2744.5,orange,Boardings,1240
Tuesday,2010-12-28,4203,orange,Boardings,1923
Wednesday,2010-12-29,4351,orange,Boardings,2009
Thursday,2010-12-30,4331.5,orange,Boardings,1868
Friday,2010-12-31,4510.5,orange,Boardings,2188
Saturday,2011-01-01,3082.5,orange,Boardings,1440
Sunday,2011-01-02,2551.5,orange,Boardings,1068
Monday,2011-01-03,4974,orange,Boardings,2045
Tuesday,2011-01-04,4265,orange,Boardings,1707
Wednesday,2011-01-05,4408.5,orange,Boardings,1775
Thursday,2011-01-06,4563.5,orange,Boardings,1991
Friday,2011-01-07,5008,orange,Boardings,1898
Saturday,2011-01-08,3432.5,orange,Boardings,1419
Sunday,2011-01-09,2276.5,orange,Boardings,987
Monday,2011-01-10,4909,orange,Boardings,2014
Tuesday,2011-01-11,4624,orange,Boardings,1892
Wednesday,2011-01-12,4102,orange,Boardings,1669
Thursday,2011-01-13,4691.5,orange,Boardings,2027
Friday,2011-01-14,5980.5,orange,Boardings,2472
Saturday,2011-01-15,3450,orange,Boardings,1368
Sunday,2011-01-16,2678,orange,Boardings,1056
Monday,2011-01-17,3423.5,orange,Boardings,1408
Tuesday,2011-01-18,3306,orange,Boardings,1257
Wednesday,2011-01-19,4877,orange,Boardings,1804
Thursday,2011-01-20,4246.5,orange,Boardings,1730
Friday,2011-01-21,5096,orange,Boardings,2208
Saturday,2011-01-22,3682,orange,Boardings,1726
Sunday,2011-01-23,2228,orange,Boardings,864
Monday,2011-01-24,4204.5,orange,Boardings,1773
Tuesday,2011-01-25,4428,orange,Boardings,1960
Wednesday,2011-01-26,2959.5,orange,Boardings,1243
Thursday,2011-01-27,2295,orange,Boardings,876
Friday,2011-01-28,4314,orange,Boardings,1842
Saturday,2011-01-29,3260,orange,Boardings,1382
Sunday,2011-01-30,2243.5,orange,Boardings,969
Monday,2011-01-31,3876.5,orange,Boardings,1439
Tuesday,2011-02-01,3522,orange,Boardings,1352
Wednesday,2011-02-02,3815,orange,Boardings,1528
Thursday,2011-02-03,3745.5,orange,Boardings,1530
Friday,2011-02-04,3699,orange,Boardings,1573
Saturday,2011-02-05,2909.5,orange,Boardings,1194
Sunday,2011-02-06,2288,orange,Boardings,896
Monday,2011-02-07,3201.5,orange,Boardings,1452
Tuesday,2011-02-08,3215,orange,Boardings,1289
Wednesday,2011-02-09,3644,orange,Boardings,1534
Thursday,2011-02-10,3984.5,orange,Boardings,1673
Friday,2011-02-11,5366,orange,Boardings,2212
Saturday,2011-02-12,4468.5,orange,Boardings,1725
Sunday,2011-02-13,2916,orange,Boardings,1259
Monday,2011-02-14,4645.5,orange,Boardings,2148
Tuesday,2011-02-15,4470.5,orange,Boardings,1594
Wednesday,2011-02-16,4961,orange,Boardings,2205
Thursday,2011-02-17,5662,orange,Boardings,2235
Friday,2011-02-18,7375.5,orange,Boardings,2265
Saturday,2011-02-19,4624,orange,Boardings,1509
Sunday,2011-02-20,3568.5,orange,Boardings,1395
Monday,2011-02-21,4067.5,orange,Boardings,1452
Tuesday,2011-02-22,3989.5,orange,Boardings,1188
Wednesday,2011-02-23,5413.5,orange,Boardings,1411
Thursday,2011-02-24,5368.5,orange,Boardings,1876
Friday,2011-02-25,6149.5,orange,Boardings,1923
Saturday,2011-02-26,5826.5,orange,Boardings,2454
Sunday,2011-02-27,3974.5,orange,Boardings,1708
Monday,2011-02-28,5420,orange,Boardings,2131
Tuesday,2011-03-01,5875.5,orange,Boardings,2503
Wednesday,2011-03-02,5850,orange,Boardings,2302
Thursday,2011-03-03,6076,orange,Boardings,2494
Friday,2011-03-04,7550,orange,Boardings,3007
Saturday,2011-03-05,5648.5,orange,Boardings,2331
Sunday,2011-03-06,3285.5,orange,Boardings,1349
Monday,2011-03-07,6312,orange,Boardings,2569
Tuesday,2011-03-08,6945,orange,Boardings,2805
Wednesday,2011-03-09,6418,orange,Boardings,2421
Thursday,2011-03-10,4930,orange,Boardings,1815
Friday,2011-03-11,7698.5,orange,Boardings,3093
Saturday,2011-03-12,6436.5,orange,Boardings,2644
Sunday,2011-03-13,2805,orange,Boardings,1181
Monday,2011-03-14,6171,orange,Boardings,2597
Tuesday,2011-03-15,6400,orange,Boardings,2604
Wednesday,2011-03-16,6198.5,orange,Boardings,2443
Thursday,2011-03-17,6430,orange,Boardings,2624
Friday,2011-03-18,7831,orange,Boardings,3168
Saturday,2011-03-19,6102.5,orange,Boardings,2632
Sunday,2011-03-20,3560,orange,Boardings,1614
Monday,2011-03-21,5801,orange,Boardings,2390
Tuesday,2011-03-22,6333,orange,Boardings,2607
Wednesday,2011-03-23,6071.5,orange,Boardings,2533
Thursday,2011-03-24,6425.5,orange,Boardings,2737
Friday,2011-03-25,8192,orange,Boardings,3265
Saturday,2011-03-26,6277,orange,Boardings,2739
Sunday,2011-03-27,3941.5,orange,Boardings,1740
Monday,2011-03-28,6710,orange,Boardings,2811
Tuesday,2011-03-29,7174,orange,Boardings,3074
Wednesday,2011-03-30,6553.5,orange,Boardings,2707
Thursday,2011-03-31,6405.5,orange,Boardings,2802
Friday,2011-04-01,8081,orange,Boardings,3461
Saturday,2011-04-02,6202.5,orange,Boardings,2747
Sunday,2011-04-03,4294,orange,Boardings,1853
Monday,2011-04-04,7899.5,orange,Boardings,3356
Tuesday,2011-04-05,6360.5,orange,Boardings,2623
Wednesday,2011-04-06,6964,orange,Boardings,2808
Thursday,2011-04-07,7266,orange,Boardings,2897
Friday,2011-04-08,6947,orange,Boardings,2862
Saturday,2011-04-09,6157,orange,Boardings,2488
Sunday,2011-04-10,4235.5,orange,Boardings,1823
Monday,2011-04-11,7356.5,orange,Boardings,3120
Tuesday,2011-04-12,6650.5,orange,Boardings,2656
Wednesday,2011-04-13,6507.5,orange,Boardings,2729
Thursday,2011-04-14,7068,orange,Boardings,2933
Friday,2011-04-15,8643,orange,Boardings,3447
Saturday,2011-04-16,3280.5,orange,Boardings,1328
Sunday,2011-04-17,4932,orange,Boardings,1996
Monday,2011-04-18,6649.5,orange,Boardings,2723
Tuesday,2011-04-19,6855.5,orange,Boardings,2819
Wednesday,2011-04-20,7641.5,orange,Boardings,3276
Thursday,2011-04-21,6764.5,orange,Boardings,3213
Friday,2011-04-22,8070,orange,Boardings,3489
Saturday,2011-04-23,6351,orange,Boardings,2926
Sunday,2011-04-24,0,orange,Boardings,NA
Monday,2011-04-25,7015,orange,Boardings,3073
Tuesday,2011-04-26,7337.5,orange,Boardings,3284
Wednesday,2011-04-27,7291,orange,Boardings,3227
Thursday,2011-04-28,7488.5,orange,Boardings,3149
Friday,2011-04-29,8691,orange,Boardings,3494
Saturday,2011-04-30,6773,orange,Boardings,2958
Sunday,2011-05-01,3786.5,orange,Boardings,1608
Monday,2011-05-02,7350,orange,Boardings,3074
Tuesday,2011-05-03,7791,orange,Boardings,3213
Wednesday,2011-05-04,6864,orange,Boardings,2754
Thursday,2011-05-05,8089,orange,Boardings,3393
Friday,2011-05-06,8339.5,orange,Boardings,3624
Saturday,2011-05-07,6968,orange,Boardings,2963
Sunday,2011-05-08,3711.5,orange,Boardings,1482
Monday,2011-05-09,7133.5,orange,Boardings,2893
Tuesday,2011-05-10,7426,orange,Boardings,3265
Wednesday,2011-05-11,8200.5,orange,Boardings,3365
Thursday,2011-05-12,7923,orange,Boardings,3307
Friday,2011-05-13,8587,orange,Boardings,3630
Saturday,2011-05-14,5895.5,orange,Boardings,2424
Sunday,2011-05-15,4934.5,orange,Boardings,2071
Monday,2011-05-16,8345.5,orange,Boardings,3404
Tuesday,2011-05-17,7776.5,orange,Boardings,3148
Wednesday,2011-05-18,7982.5,orange,Boardings,3239
Thursday,2011-05-19,8272.5,orange,Boardings,3404
Friday,2011-05-20,9347.5,orange,Boardings,3833
Saturday,2011-05-21,7006.5,orange,Boardings,2979
Sunday,2011-05-22,4783.5,orange,Boardings,1993
Monday,2011-05-23,8317.5,orange,Boardings,3299
Tuesday,2011-05-24,8440,orange,Boardings,3385
Wednesday,2011-05-25,8744,orange,Boardings,3521
Thursday,2011-05-26,8410.5,orange,Boardings,3348
Friday,2011-05-27,9696,orange,Boardings,3831
Saturday,2011-05-28,7320.5,orange,Boardings,3264
Sunday,2011-05-29,5902.5,orange,Boardings,2822
Monday,2011-05-30,5720.5,orange,Boardings,2668
Tuesday,2011-05-31,7736.5,orange,Boardings,3065
Wednesday,2011-06-01,8337,orange,Boardings,3261
Thursday,2011-06-02,8346.5,orange,Boardings,3243
Friday,2011-06-03,9146.5,orange,Boardings,3881
Saturday,2011-06-04,6675,orange,Boardings,2998
Sunday,2011-06-05,4871,orange,Boardings,1989
Monday,2011-06-06,7889.5,orange,Boardings,3316
Tuesday,2011-06-07,8216,orange,Boardings,3485
Wednesday,2011-06-08,8009.5,orange,Boardings,3510
Thursday,2011-06-09,7873.5,orange,Boardings,3066
Friday,2011-06-10,9212.5,orange,Boardings,3735
Saturday,2011-06-11,6992,orange,Boardings,3194
Sunday,2011-06-12,4590,orange,Boardings,1982
Monday,2011-06-13,8213,orange,Boardings,3624
Tuesday,2011-06-14,7889,orange,Boardings,3371
Wednesday,2011-06-15,8308,orange,Boardings,3753
Thursday,2011-06-16,7851.5,orange,Boardings,3360
Friday,2011-06-17,9684.5,orange,Boardings,4139
