county,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Boulder,4.034535158,4.079100661,3.792547926,6.290257722,4.75554403,5.67667787,3.509452842,5.07284974,3.706147494,3.641104794,5.512484465,5.484898507
Denver,7.114236027,6.793702395,2.945863431,3.556912499,3.843781154,6.182937234,3.315020838,5.805259516,4.537265998,4.422048886,3.84747781,6.475106589
