COUNTY,RATE,L95CL,U95CL,VISITS,FLAG,YEAR,GENDER,MEASURE,HEALTHOUTCOMEID,cofips
Adams,6.6563007,4.303223607,9.009377793,32,2,2017,Both genders,Age adjusted rate,Heat-related,08001
Adams,6.451386114,3.653607214,10.03149039,16,2,2018,Female,Age adjusted rate,Heat-related,08001
Adams,7.729184321,4.377748064,11.08062058,21,2,2018,Male,Age adjusted rate,Heat-related,08001
Adams,7.161328554,4.808729458,9.513927649,37,2,2018,Both genders,Age adjusted rate,Heat-related,08001
Adams,6.701693084,3.888670748,10.26776243,17,2,2019,Female,Age adjusted rate,Heat-related,08001
Adams,6.719178163,4.028484117,10.08694945,19,2,2019,Male,Age adjusted rate,Heat-related,08001
Adams,6.76088062,4.528874328,8.992886912,36,2,2019,Both genders,Age adjusted rate,Heat-related,08001
Adams,,,,,2,2020,Female,Age adjusted rate,Heat-related,08001
Adams,5.986063313,3.283357565,9.486946459,15,2,2020,Male,Age adjusted rate,Heat-related,08001
Adams,4.752434497,2.815393736,6.689475258,24,2,2020,Both genders,Age adjusted rate,Heat-related,08001
Adams,7.404627919,4.43998152,11.11511128,19,2,2021,Female,Age adjusted rate,Heat-related,08001
Adams,6.565605385,3.703201753,10.23411892,16,2,2021,Male,Age adjusted rate,Heat-related,08001
Adams,6.959932018,4.630818795,9.289045241,35,2,2021,Both genders,Age adjusted rate,Heat-related,08001
Adams,6.923330336,4.0806638,10.50512909,18,2,2022,Female,Age adjusted rate,Heat-related,08001
Adams,9.766009388,6.064429906,13.46758887,27,2,2022,Male,Age adjusted rate,Heat-related,08001
Adams,8.315074048,5.868511061,10.76163703,45,2,2022,Both genders,Age adjusted rate,Heat-related,08001
Adams,5.224874433,2.839241702,8.325965872,14,2,2023,Female,Age adjusted rate,Heat-related,08001
Adams,8.855707892,5.093925994,12.61748979,23,2,2023,Male,Age adjusted rate,Heat-related,08001
Adams,6.91261069,4.654166065,9.171055315,37,2,2023,Both genders,Age adjusted rate,Heat-related,08001
Adams,6.124341324,3.551058128,9.387419028,17,2,2024,Female,Age adjusted rate,Heat-related,08001
Adams,9.007807605,5.458273544,12.55734167,25,2,2024,Male,Age adjusted rate,Heat-related,08001
Adams,7.550296949,5.25223934,9.848354559,42,2,2024,Both genders,Age adjusted rate,Heat-related,08001
Alamosa,0,0,0,0,2,2011,Female,Age adjusted rate,Heat-related,08003
Alamosa,0,0,0,0,2,2011,Male,Age adjusted rate,Heat-related,08003
Alamosa,0,0,0,0,2,2011,Both genders,Age adjusted rate,Heat-related,08003
Alamosa,0,0,0,0,2,2012,Female,Age adjusted rate,Heat-related,08003
Alamosa,0,0,0,0,2,2012,Male,Age adjusted rate,Heat-related,08003
Alamosa,0,0,0,0,2,2012,Both genders,Age adjusted rate,Heat-related,08003
Alamosa,,,,,2,2013,Female,Age adjusted rate,Heat-related,08003
Alamosa,0,0,0,0,2,2013,Male,Age adjusted rate,Heat-related,08003
Alamosa,,,,,2,2013,Both genders,Age adjusted rate,Heat-related,08003
Alamosa,0,0,0,0,2,2014,Female,Age adjusted rate,Heat-related,08003
Alamosa,0,0,0,0,2,2014,Male,Age adjusted rate,Heat-related,08003
Alamosa,0,0,0,0,2,2014,Both genders,Age adjusted rate,Heat-related,08003
Alamosa,0,0,0,0,2,2015,Female,Age adjusted rate,Heat-related,08003
Alamosa,,,,,2,2015,Male,Age adjusted rate,Heat-related,08003
Alamosa,,,,,2,2015,Both genders,Age adjusted rate,Heat-related,08003
Alamosa,0,0,0,0,2,2016,Female,Age adjusted rate,Heat-related,08003
Alamosa,,,,,2,2016,Male,Age adjusted rate,Heat-related,08003
Alamosa,,,,,2,2016,Both genders,Age adjusted rate,Heat-related,08003
Alamosa,0,0,0,0,2,2017,Female,Age adjusted rate,Heat-related,08003
Alamosa,,,,,2,2017,Male,Age adjusted rate,Heat-related,08003
Alamosa,,,,,2,2017,Both genders,Age adjusted rate,Heat-related,08003
Alamosa,0,0,0,0,2,2018,Female,Age adjusted rate,Heat-related,08003
Alamosa,0,0,0,0,2,2018,Male,Age adjusted rate,Heat-related,08003
Alamosa,0,0,0,0,2,2018,Both genders,Age adjusted rate,Heat-related,08003
Alamosa,,,,,2,2019,Female,Age adjusted rate,Heat-related,08003
Alamosa,0,0,0,0,2,2019,Male,Age adjusted rate,Heat-related,08003
Alamosa,,,,,2,2019,Both genders,Age adjusted rate,Heat-related,08003
Alamosa,0,0,0,0,2,2020,Female,Age adjusted rate,Heat-related,08003
Alamosa,,,,,2,2020,Male,Age adjusted rate,Heat-related,08003
Alamosa,,,,,2,2020,Both genders,Age adjusted rate,Heat-related,08003
Alamosa,0,0,0,0,2,2021,Female,Age adjusted rate,Heat-related,08003
Alamosa,0,0,0,0,2,2021,Male,Age adjusted rate,Heat-related,08003
Alamosa,0,0,0,0,2,2021,Both genders,Age adjusted rate,Heat-related,08003
Alamosa,0,0,0,0,2,2022,Female,Age adjusted rate,Heat-related,08003
Alamosa,0,0,0,0,2,2022,Male,Age adjusted rate,Heat-related,08003
Alamosa,0,0,0,0,2,2022,Both genders,Age adjusted rate,Heat-related,08003
Alamosa,,,,,2,2023,Female,Age adjusted rate,Heat-related,08003
Alamosa,0,0,0,0,2,2023,Male,Age adjusted rate,Heat-related,08003
Alamosa,,,,,2,2023,Both genders,Age adjusted rate,Heat-related,08003
Alamosa,,,,,2,2024,Female,Age adjusted rate,Heat-related,08003
Alamosa,0,0,0,0,2,2024,Male,Age adjusted rate,Heat-related,08003
Alamosa,,,,,2,2024,Both genders,Age adjusted rate,Heat-related,08003
Arapahoe,5.859238417,3.336148204,9.081183119,16,2,2011,Female,Age adjusted rate,Heat-related,08005
Arapahoe,5.68573331,3.302113195,8.706401142,17,2,2011,Male,Age adjusted rate,Heat-related,08005
Arapahoe,5.842312092,3.829059622,7.855564563,33,2,2011,Both genders,Age adjusted rate,Heat-related,08005
Arapahoe,4.21359067,2.158937637,6.943735817,12,2,2012,Female,Age adjusted rate,Heat-related,08005
Arapahoe,5.140261733,2.864881441,8.069759624,15,2,2012,Male,Age adjusted rate,Heat-related,08005
Arapahoe,4.741523803,2.934322727,6.548724878,27,2,2012,Both genders,Age adjusted rate,Heat-related,08005
Arapahoe,3.971778593,1.971768128,6.660311916,11,2,2013,Female,Age adjusted rate,Heat-related,08005
Arapahoe,,,,,1,2013,Male,Age adjusted rate,Heat-related,08005
Arapahoe,3.600492336,2.010038281,5.190946391,20,2,2013,Both genders,Age adjusted rate,Heat-related,08005
Arapahoe,,,,,1,2014,Female,Age adjusted rate,Heat-related,08005
Arapahoe,,,,,1,2014,Male,Age adjusted rate,Heat-related,08005
Arapahoe,,,,,1,2014,Both genders,Age adjusted rate,Heat-related,08005
Arapahoe,5.125584083,2.907965076,7.961353339,16,2,2015,Female,Age adjusted rate,Heat-related,08005
Arapahoe,4.448574306,2.466842915,7.004935874,15,2,2015,Male,Age adjusted rate,Heat-related,08005
Arapahoe,4.787246678,3.078737668,6.495755688,31,2,2015,Both genders,Age adjusted rate,Heat-related,08005
Arapahoe,5.730778866,3.384839714,8.68428354,18,2,2016,Female,Age adjusted rate,Heat-related,08005
Arapahoe,7.249301308,4.079966976,10.41863564,21,2,2016,Male,Age adjusted rate,Heat-related,08005
Arapahoe,6.364851121,4.346190694,8.383511547,39,2,2016,Both genders,Age adjusted rate,Heat-related,08005
Arapahoe,,,,,2,2017,Female,Age adjusted rate,Heat-related,08005
Arapahoe,,,,,2,2017,Male,Age adjusted rate,Heat-related,08005
Arapahoe,2.613303871,1.47594542,4.070224227,16,1,2017,Both genders,Age adjusted rate,Heat-related,08005
Arapahoe,3.675706128,1.932851684,5.969350871,13,2,2018,Female,Age adjusted rate,Heat-related,08005
Arapahoe,6.203694131,3.525218244,8.882170018,21,1,2018,Male,Age adjusted rate,Heat-related,08005
Arapahoe,4.964079818,3.276024969,6.652134667,34,1,2018,Both genders,Age adjusted rate,Heat-related,08005
Arapahoe,5.24875782,3.034263959,8.060126254,17,2,2019,Female,Age adjusted rate,Heat-related,08005
Arapahoe,4.210970008,2.285193601,6.715566507,14,1,2019,Male,Age adjusted rate,Heat-related,08005
Arapahoe,4.806741805,3.097320638,6.516162971,31,2,2019,Both genders,Age adjusted rate,Heat-related,08005
Arapahoe,,,,,1,2020,Female,Age adjusted rate,Heat-related,08005
Arapahoe,3.257539997,1.592969821,5.507477172,11,1,2020,Male,Age adjusted rate,Heat-related,08005
Arapahoe,2.297869511,1.298062586,3.578489307,16,1,2020,Both genders,Age adjusted rate,Heat-related,08005
Arapahoe,3.376006212,1.711973951,5.595558091,12,2,2021,Female,Age adjusted rate,Heat-related,08005
Arapahoe,5.330666821,3.137173184,8.096131657,18,2,2021,Male,Age adjusted rate,Heat-related,08005
Arapahoe,4.444464758,2.828351778,6.060577739,30,1,2021,Both genders,Age adjusted rate,Heat-related,08005
Arapahoe,4.206822518,2.327678841,6.632870655,15,2,2022,Female,Age adjusted rate,Heat-related,08005
Arapahoe,7.465040752,4.444658514,10.48542299,24,2,2022,Male,Age adjusted rate,Heat-related,08005
Arapahoe,5.844658516,3.988855095,7.700461937,39,2,2022,Both genders,Age adjusted rate,Heat-related,08005
Arapahoe,5.316536904,3.129357998,8.073868443,18,2,2023,Female,Age adjusted rate,Heat-related,08005
Arapahoe,7.877409772,4.766307007,10.98851254,25,2,2023,Male,Age adjusted rate,Heat-related,08005
Arapahoe,6.624816933,4.627306706,8.622327161,43,2,2023,Both genders,Age adjusted rate,Heat-related,08005
Arapahoe,5.707288397,3.17634965,8.238227144,20,2,2024,Female,Age adjusted rate,Heat-related,08005
Arapahoe,8.436737646,5.280715407,11.59275989,28,2,2024,Male,Age adjusted rate,Heat-related,08005
Arapahoe,7.163197985,5.120645175,9.205750795,48,2,2024,Both genders,Age adjusted rate,Heat-related,08005
Archuleta,0,0,0,0,2,2011,Female,Age adjusted rate,Heat-related,08007
Archuleta,0,0,0,0,2,2011,Male,Age adjusted rate,Heat-related,08007
Archuleta,0,0,0,0,2,2011,Both genders,Age adjusted rate,Heat-related,08007
Archuleta,0,0,0,0,2,2012,Female,Age adjusted rate,Heat-related,08007
Archuleta,0,0,0,0,2,2012,Male,Age adjusted rate,Heat-related,08007
Archuleta,0,0,0,0,2,2012,Both genders,Age adjusted rate,Heat-related,08007
Archuleta,0,0,0,0,2,2013,Female,Age adjusted rate,Heat-related,08007
Archuleta,0,0,0,0,2,2013,Male,Age adjusted rate,Heat-related,08007
Archuleta,0,0,0,0,2,2013,Both genders,Age adjusted rate,Heat-related,08007
Archuleta,0,0,0,0,2,2014,Female,Age adjusted rate,Heat-related,08007
Archuleta,0,0,0,0,2,2014,Male,Age adjusted rate,Heat-related,08007
